Year,Bowl Game Name,Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 2 Miles to Venue,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,Combined Fanbase Size (social + enrollment + alum),Avg Distace Traveled,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distcance,AP Strength Normalized,Predicted Attendence,Predicted % Filled,Actual Attendance,Bowl Avg Attendance,% Error
2023,Holiday Bowl,USC Trojans,Big Ten Conference,0,8,896.41,427400,47147,376732,Regional,175681.164,34.02,-118.28,PST,Louisville Cardinals,Atlantic Coast Conference,16,10,744.16,402100,22139,119709,Regional,137326.364,38.22,-85.76,EST,Snapdragon Stadium,San Diego,CA,1,35000,32.78,-117.07,PST,111,1792,12/28/2023,Thursday,8:00 PM,FOX,3510000,35317,3470000,31826,1.01,9,18,8,0,16,0,0,0,1,1395227,951.5219443,111,1681.16,0,2,2,1,0,18,6.144645183,0.237862075,0.6444444444,"31,764.12",90.75%,35317,31826,-10.06%
2022,Holiday Bowl,Oregon Ducks,Big Ten Conference,15,10,877.93,842000,23786,155079,Regional,273216.272,44.05,-123.08,PST,North Carolina Tar Heels,Atlantic Coast Conference,0,9,812.94,569400,32234,220432,Regional,199635.176,35.91,-79.05,EST,Snapdragon Stadium,San Diego,CA,1,35000,32.78,-117.07,PST,843,2166,12/28/2022,Wednesday,8:00 PM,FOX,3970000,36242,3470000,31826,1.04,9.5,19,7.5,0,15,0,0,0,1,1842931,1504.779783,843,1323.05,0,2,2,1,0,18.5,6.265509311,0.3969253992,0.6666666667,"31,140.65",88.97%,36242,31826,-14.08%
2024,Holiday Bowl,Syracuse Orange,Atlantic Coast Conference,22,10,698.59,260000,22948,160500,National,98919.036,43.04,-76.13,EST,Washington State Cougars,Pac-12 Conference,0,8,610.54,237200,26490,161917,Mostly In-State,92893.916,46.73,-117.16,PST,Snapdragon Stadium,San Diego,CA,1,35000,32.78,-117.07,PST,2316,964,12/27/2024,Friday,8:00 PM,FOX,2930000,23920,3470000,31826,0.68,9,18,11,0,22,0,0,0,0,869055,1640.184242,964,1351.81,0,1,2,1,0,15,5.939047762,0.435854596,0.5111111111,"26,275.49",75.07%,23920,31826,9.85%
2023,Independence Bowl,Texas Tech Red Raiders,Big 12 Conference,0,7,694.26,416200,40773,205454,Highly Local,153837.704,33.58,-101.87,CST,California Golden Bears,Atlantic Coast Conference,0,6,681.14,202700,45699,492402,Regional,119462.456,37.87,-122.26,PST,Independence Stadium,Shreveport,LA,1,50000,32.51,-93.74,CST,477,1645,12/16/2023,Saturday,9:15 PM,ESPN,1020000,33071,1523333,30255,0.66,6.5,13,0,0,0,0,0,0,1,1403228,1060.99189,477,1168.82,1,2,2,1,0,26,6.147128552,0.2693350199,1,"29,752.79",59.51%,33071,30255,-10.03%
2024,Independence Bowl,Army Black Knights,American Conference,19,12,0,282000,4508,49781,Very National (Top 10%),90479.7,41.39,-73.96,EST,Louisiana Tech Bulldogs,Conference USA,0,5,533.72,110900,11427,58686,Regional,41637.488,32.53,-92.65,CST,Independence Stadium,Shreveport,LA,1,50000,32.51,-93.74,CST,1249,64,12/28/2024,Saturday,9:15 PM,ESPN,1140000,34283,1523333,30255,0.69,8.5,17,9.5,0,19,0,0,0,0,517302,656.190471,64,1184.93,1,0,2,1,1,16.5,5.713744997,0.1529533714,0.5777777778,"34,853.27",69.71%,34283,30255,1.66%
2022,Independence Bowl,Houston Cougars,Big 12 Conference,0,8,629.12,240700,46676,253065,Highly Local,107103.348,29.72,-95.34,CST,Louisiana Ragin' Cajuns,Sun Belt Conference,0,6,458.15,111900,15345,80684,Mostly In-State,44890.66,30.21,-92.02,CST,Independence Stadium,Shreveport,LA,1,50000,32.51,-93.74,CST,215,189,12/23/2022,Friday,3:00 PM,ESPN,2410000,23410,1523333,30255,0.47,7,14,0,0,0,0,0,0,0,748370,201.8424603,189,26.21,0,1,2,1,0,26,5.87411695,0.02232692602,1,"28,159.85",56.32%,23410,30255,20.29%
2022,LA Bowl,Fresno State Bulldogs,Mountain West Conference,0,10,502.26,198300,23986,110359,Highly Local,75524.004,36.81,-119.74,PST,Washington State Cougars,Pac-12 Conference,0,7,570.94,237200,26490,161917,Mostly In-State,92878.076,46.73,-117.16,PST,SoFI Stadium,Inglewood,CA,1,70240,33.95,-118.34,PST,213,885,12/17/2022,Saturday,3:30 PM,ABC,2400000,32405,2086667,29868,0.46,8.5,17,0,0,0,0,0,0,0,758252,548.863545,213,672.30,1,0,2,2,0,26,5.879814137,0.1220965513,1,"28,395.05",40.43%,32405,29868,-12.37%
2023,LA Bowl,UCLA Bruins,Big Ten Conference,0,8,752.6,383800,46678,595184,Regional,184295.04,34.07,-118.44,PST,Boise State Broncos,Mountain West Conference,0,8,579.88,322200,26670,111237,Regional,113349.652,43.60,-116.20,MST,SoFI Stadium,Inglewood,CA,1,70240,33.95,-118.34,PST,10,677,12/16/2023,Saturday,7:30 PM,ABC,2380000,32780,2086667,29868,0.47,8,16,0,0,0,0,0,0,0,1485769,343.3437343,10,666.57,1,1,2,2,1,26,6.171951585,0.0630089759,1,"29,823.81",42.46%,32780,29868,-9.02%
2024,LA Bowl,California Golden Bears,Atlantic Coast Conference,0,6,702.38,202700,45699,492402,Regional,119470.952,37.87,-122.26,PST,UNLV Rebels,Mountain West Conference,24,11,575.16,167200,21778,145643,Mostly In-State,69309.964,36.11,-115.14,PST,SoFI Stadium,Inglewood,CA,1,70240,33.95,-118.34,PST,348,234,12/18/2024,Wednesday,9:00 PM,ESPN,1480000,24420,2086667,29868,0.35,8.5,17,12,0,24,0,0,0,0,1075422,291.37791,234,114.08,0,1,2,2,0,14,6.03157932,0.04806864217,0.4666666667,"30,124.62",42.89%,24420,29868,23.36%
2023,Las Vegas Bowl,Northwestern Wildcats,Big Ten Conference,0,8,657.88,128600,23203,185531,National,62036.852,42.05,-87.68,CST,Utah Utes,Big 12 Conference,0,8,722.55,428900,35260,179042,Mostly In-State,153915.22,40.76,-111.85,MST,Allegiant Stadium,Las Vegas,NV,3,65000,36.11,-115.14,PST,1522,368,12/23/2023,Saturday,7:30 PM,ABC,3090000,20897,2756667,25773,0.32,8,16,0,0,0,0,0,1,0,980536,944.7126433,368,1153.97,1,2,2,2,0,26,5.991463986,0.2359043801,1,"16,884.42",25.98%,20897,25773,-19.20%
