Year,Bowl Game Name,Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 2 Miles to Venue,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,Combined Fanbase Size (social + enrollment + alum),Avg Distace Traveled,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distcance,AP Strength Normalized,Predicted Attendence,Predicted % Filled,Actual Attendance,Bowl Avg Attendance,% Error
2022,New Mexico Bowl,BYU Cougars,Big 12 Conference,0,8,415.19,379700,35074,236737,Regional,144764.576,40.25,-111.65,MST,SMU Mustangs,Atlantic Coast Conference,0,7,598.49,200600,11842,102694,Regional,73057.196,32.84,-96.78,CST,University Stadium,Albuquerque,NM,1,39224,35.08,-106.62,MST,451,584,12/17/22,Saturday,7:30 PM,ABC,2040000,22209,1368333,25268,0.57,7.5,15,0,0,0,0,0,0,1,966647,517.4173582,451,133.79,1,2,3,2,0,26,5.985268357,0.1130556762,1,"17,274.02",44.04%,22209,25268,-22.22%
2023,New Orleans Bowl,Jacksonville State Gamecocks,Conference USA,0,9,227.27,60500,9672,39841,Regional,24159.408,33.82,-85.77,CST,Louisiana Ragin' Cajuns,Sun Belt Conference,0,6,475.45,111900,15345,80684,Mostly In-State,44897.58,30.21,-92.02,CST,Caesars Superdome,New Orleans,LA,1,41426,29.95,-90.08,CST,368,117,12/16/23,Saturday,2:15 PM,ESPN,1090000,14485,1014333,13697,0.35,7.5,15,0,0,0,0,0,0,0,317942,242.7856568,117,251.02,1,0,3,2,0,26,5.502349268,0.03409822048,1,"13,132.15",31.70%,14485,13697,-9.34%
2022,New Orleans Bowl,West Virginia Mountaineers,Big 12 Conference,0,5,662.57,545500,24200,160808,National,184835.828,39.63,-79.95,EST,South Alabama Jaguars,Sun Belt Conference,0,10,466.34,102300,13768,63975,Regional,40027.636,30.70,-88.18,CST,Caesars Superdome,New Orleans,LA,1,41426,29.95,-90.08,CST,881,125,12/21/22,Wednesday,9:00 PM,ESPN,1200000,13456,1014333,13697,0.32,7.5,15,0,0,0,0,0,0,0,910551,502.6850522,125,756.11,0,1,3,2,0,26,5.959304753,0.1088200931,1,"12,773.47",30.83%,13456,13697,-5.07%
2024,New Orleans Bowl,Georgia Southern Eagles,Sun Belt Conference,0,8,527.99,137100,26041,113407,Mostly In-State,57890.096,32.43,-81.78,EST,Sam Houston Bearkats,Conference USA,,10,488.03,78200,21403,119135,Highly Local,39849.312,30.71,-95.55,CST,Caesars Superdome,New Orleans,LA,1,41426,29.95,-90.08,CST,519,330,12/19/2024,Thursday,7:00 PM,ESPN,753000,13151,1014333,13697,0.32,9,18,0,0,0,0,0,0,0,495286,424.6729119,330,189.18,0,0,3,2,0,13,5.694856929,0.0863913637,0.4222222222,"10,946.61",26.42%,13151,13697,-16.76%
2022,Pinstripe Bowl,Minnesota Golden Gophers,Big Ten Conference,0,9,649.43,335500,9350,294902,Mostly In-State,132269.972,44.97,-93.24,CST,Syracuse Orange,Atlantic Coast Conference,0,7,590.36,260000,22948,160500,National,98875.744,43.04,-76.13,EST,Yankee Stadium,Bronx,NY,1,50291,40.83,-73.93,EST,1016,190,12/29/22,Thursday,2:00 PM,ESPN,2750000,31131,3313333,32169,0.62,8,16,0,0,0,0,0,0,1,1083200,602.8478084,190,825.54,0,2,1,2,0,26,6.034709052,0.1376171925,1,"31,895.57",63.42%,31131,32169,2.46%
2024,Pinstripe Bowl,Nebraska Cornhuskers,Big Ten Conference,0,7,790.42,679600,15015,155398,Regional,222738.968,40.82,-96.70,CST,Boston College Eagles,Atlantic Coast Conference,0,7,667.91,200200,15280,133252,National,76708.364,42.34,-71.17,EST,Yankee Stadium,Bronx,NY,1,50291,40.83,-73.93,EST,1187,176,12/28/2024,Saturday,12:00 PM,ABC,4190000,30062,3313333,32169,0.60,7,14,0,0,0,0,0,0,1,1198745,681.9474373,176,1010.99,1,2,1,2,0,26,6.078727171,0.1603585782,1,"29,684.15",59.02%,30062,32169,-1.26%
2023,Pinstripe Bowl,Rutgers Scarlet Knights,Big Ten Conference,0,7,636.35,295400,50617,266030,Regional,125600.94,40.50,-74.45,EST,Miami Hurricanes,Atlantic Coast Conference,0,7,860.27,771800,19593,130166,Regional,248819.308,25.72,-80.28,EST,Yankee Stadium,Bronx,NY,1,50291,40.83,-73.93,EST,36,1106,12/28/23,Thursday,2:00 PM,ESPN,3000000,35314,3313333,32169,0.70,7,14,0,0,0,0,0,0,1,1533606,570.661201,36,1070.17,0,2,1,2,1,26,6.185714082,0.1283634442,1,"40,236.73",80.01%,35314,32169,13.94%
2022,Pop-Tart Bowl,Florida State Seminoles,Atlantic Coast Conference,13,10,780.76,1018800,43234,272106,Mostly In-State,341809.704,30.44,-84.30,EST,Oklahoma Sooners,Southeastern Conference,0,6,870.34,1379800,29145,173771,Regional,437494.236,35.21,-97.44,CST,Camping World Stadium,Orlando,FL,3,60219,28.54,-81.40,EST,218,1046,12/29/2022,Thursday,5:30 PM,ESPN,5400000,61520,5500000,43760,1.02,8,16,6.5,0,13,1,0,0,0,2916856,632.1577967,218,828.17,0,2,1,1,0,19.5,6.464915138,0.1460439039,0.7111111111,"49,280.71",81.84%,61520,43760,-19.89%
2024,Pop-Tart Bowl,Iowa State Cyclones,Big 12 Conference,18,11,642.12,300500,30177,182047,Regional,114646.948,42.03,-93.65,CST,Miami Hurricanes,Atlantic Coast Conference,15,10,868.15,771800,19593,130166,Regional,248822.46,25.72,-80.28,EST,Camping World Stadium,Orlando,FL,3,60219,28.54,-81.40,EST,1157,207,12/28/2024,Saturday,3:30 PM,ABC,6790000,38650,5500000,43760,0.64,10.5,21,16.5,15,18,0,0,0,1,1434283,681.9750313,207,950.71,1,2,1,1,0,9.5,6.156635154,0.1603665115,0.2666666667,"40,933.37",67.97%,38650,43760,5.91%
2023,Pop-Tart Bowl,Kansas State Wildcats,Big 12 Conference,0,9,616,274400,19745,152636,Regional,101779,39.19,-96.58,CST,NC State Wolfpack,Atlantic Coast Conference,19,9,700.85,369900,37323,231036,Mostly In-State,141818.54,35.79,-78.67,EST,Camping World Stadium,Orlando,FL,3,60219,28.54,-81.40,EST,1137,525,12/28/2023,Thursday,5:45 PM,ESPN,4310000,31111,5500000,43760,0.52,9,18,9.5,0,19,0,0,0,1,1085040,831.3411154,525,611.82,0,2,1,1,0,16.5,6.035446149,0.2033097184,0.5777777778,"36,674.51",60.90%,31111,43760,17.88%
2022,Reliaquest Bowl,Mississippi State Bulldogs,Southeastern Conference,24,9,725.55,535400,22657,117010,National,177142.62,33.45,-88.79,CST,Illinois Fighting Illini,Big Ten Conference,0,8,631.46,312600,56563,390561,Regional,144401.284,40.10,-88.23,CST,Raymond James Stadium,Tampa,FL,3,65857,28.06,-82.41,EST,531,896,01/02/23,Monday,12:00 PM,ESPN2,2180000,35797,3395000,33611,0.54,8.5,17,12,0,24,0,1,0,0,1434791,713.3654299,531,364.66,0,2,1,1,0,14,6.156788947,0.1693913473,0.4666666667,"34,970.65",53.10%,35797,33611,-2.31%
2023,Reliaquest Bowl,LSU Tigers,Southeastern Conference,13,10,899.31,2200000,39418,214165,Regional,689659.824,30.41,-91.18,CST,Wisconsin Badgers,Big Ten Conference,0,7,741.63,720200,49605,308056,National,257083.252,43.08,-89.40,CST,Raymond James Stadium,Tampa,FL,3,65857,28.06,-82.41,EST,553,1108,1/1/24,Monday,12:00 PM,ESPN2,4610000,31424,3395000,33611,0.48,8.5,17,6.5,0,13,0,1,0,0,3531444,830.5449787,553,555.51,0,2,1,1,0,19.5,6.547952447,0.2030808267,0.7111111111,"35,519.59",53.93%,31424,33611,13.03%
2022,Sun Bowl,Pittsburgh Panthers,Atlantic Coast Conference,0,9,654.56,310000,34525,184319,Regional,118598.724,40.44,-79.95,EST,UCLA Bruins,Big Ten Conference,18,9,733.30,383800,46678,595184,Regional,184287.32,34.07,-118.44,PST,Sun Bowl Stadium,El Paso,TX,1,51500,29.58,-98.62,CST,1291,1202,12/30/22,Friday,2:00 PM,CBS,2760000,41104,3010000,44664,0.80,9,18,9,0,18,0,1,0,0,1554506,1246.734482,1202,89.27,0,2,2,1,0,17,6.191592682,0.3227365844,0.6,"36,883.92",71.62%,41104,44664,-10.27%
2023,Sun Bowl,Notre Dame Fighting Irish,Independent,15,10,870.7,1281900,13174,107378,Very National (Top 10%),398290.88,41.70,-86.24,EST,Oregon State Beavers,Pac-12 Conference,21,8,653.16,257900,35622,176468,Regional,102402.464,44.56,-123.27,PST,Sun Bowl Stadium,El Paso,TX,1,51500,29.58,-98.62,CST,1086,1697,12/29/23,Friday,2:00 PM,CBS,3260000,48223,3010000,44664,0.94,9,18,18,15,21,0,0,0,0,1872442,1391.484122,1086,610.94,0,0,2,1,0,8,6.272408606,0.3643525493,0.2,"41,645.96",80.87%,48223,44664,-13.64%
2022,Texas Bowl,Texas Tech Red Raiders,Big 12 Conference,0,8,660.31,416200,40773,205454,Highly Local,153824.124,33.58,-101.87,CST,Ole Miss Rebels,Southeastern Conference,0,8,757.39,673400,24043,107095,National,217841.056,34.37,-89.54,CST,NRG Stadium,Houston,TX,2,71795,29.68,-95.41,CST,466,472,12/28/22,Wednesday,9:00 PM,ESPN,2600000,53251,2840000,54232,0.74,8,16,0,0,0,1,0,0,0,1466965,468.9413333,466,6.26,0,2,1,2,0,26,6.166420048,0.09911867051,1,"45,845.06",63.86%,53251,54232,-13.91%
2023,Texas Bowl,Oklahoma State Cowboys,Big 12 Conference,22,10,649.79,384700,26043,177732,Regional,138651.716,36.12,-97.07,CST,Texas A&M Aggies,Southeastern Conference,0,7,925.92,722400,76633,667867,Regional,299203.668,30.62,-96.34,CST,NRG Stadium,Houston,TX,2,71795,29.68,-95.41,CST,455,85,12/27/23,Wednesday,9:00 PM,ESPN,3080000,55212,2840000,54232,0.77,8.5,17,11,0,22,1,0,0,0,2055375,270.0371577,85,370.17,0,2,1,2,1,15,6.312891281,0.04193311048,0.5111111111,"53,112.87",73.98%,55212,54232,-3.80%
