Year,Bowl Game Name,Team 1,Team 1 Conference,Team 1 AP Ranking,Team 1 Wins,Team 1 247 Talent Composite Score,Team 1 Total FB Social Followers,Team 1 Enrollment,Team 1 Total Alumni,Team 1 Alumni Dispersion,Team 1 Brand Power,Team 1 Lat,Team 1 Lon,Team 1 Time Zone,Team 2,Team 2 Conference,Team 2 AP Ranking,Team 2 Wins,Team 2 247 Talent Composite Score,Team 2 Total FB Social Followers,Team 2 Enrollment,Team 2 Total Alumni,Team 2 Alumni Dispersion,Team 2 Brand Power,Team 2 Lat,Team 2 Lon,Team 2 Time Zone,Venue,City,State,Venue Tier,Venue Capacity,Venue Lat,Venue Lon,Venue Time Zone,Team 1 Miles to Venue,Team 2 Miles to Venue,Date,Day of the Week,Local Start Time,Network,Viewers,Attendance,Bowl Avg Viewers,Bowl Avg Attendees,% Filled,Avg Wins,Total Wins,Avg AP Ranking,Best AP Ranking,Worst AP Ranking,SEC Present,Big 10 Present,Big 12 Present,ACC Present,"Combined Fanbase Size 
(social + enrollment + alum)",Avg Distace Traveled,Distance Minimum,Distance Imbalance,"Weekend Indicator (Weekend=1, Else 0)","Matchup Power Score (2=P4vP4, 1=P4vG5, 0=G5vG5)",Bowl Tier,Bowl Ownership,Local Team Indicator,AP Strength Score,Combined Fanbase (Log transformed),MinMax Scale Distcance,AP Strength Normalized,Raw Gradient Boosted Attendance,Gradient Boosted Predicted Attendance,Final Attendance Prediction,Bowl Avg Attendance,Gradient Boosted Predicted % Filled,Bowl Avg % Filled ,Attendance Difference from Avg,% Attendance Difference from Avg,Actual Attendance,Actual % Filled,% Error,Bowl Type,Notes
2025,New Orleans Bowl,Western Kentucky Hilltoppers,Conference USA,0,8,561.36,121200,16759,89707,Regional,48907.044,36.985035,-86.456828,CST,Southern Miss Golden Eagles,Sun Belt Conference,0,7,602.53,133200,13110,83364,Regional,51159.412,31.32661,-89.331236,CST,Caesars Superdome,New Orleans,LA,1,41426,29.951439,-90.08197,CST,528.896488,104.9800278,12/23/2025,Tuesday,0.7291666667,ESPN,,,1014333,13697,,7.5,15,0,0,0,0,0,0,0,457340,316.9382579,104.9800278,423.9164602,0,0,3,2,0,26,5.660240137,0.215023566,1,13282.5377,13406.87639,13406.87639,13697,0.3236343453,0.3306377637,-290.12361,-0.02118154413,,,,Medium,
2025,Hawaii Bowl,California Golden Bears,Atlantic Coast Conference,0,7,726.21,202700,45699,492402,Regional,119480.484,37.871918,-122.260463,PST,Hawai'i Rainbow Warriors,Mountain West Conference,0,8,481.2,141800,19256,102677,Regional,56851.38,21.298598,-157.818979,HST,Clarence T.C. Ching Athletics Complex,Honolulu,HI,1,15194,21.3003,-157.815,HST,2403.22857,0.2818659331,12/24/2025,Wednesday,0.8333333333,ESPN,,,1333333,6805,,7.5,15,0,0,0,0,0,0,0,1004534,1201.755218,0.2818659331,2402.946704,0,1,3,2,1,26,6.001965073,1,1,9410.342034,8628.739424,9410.342034,6805,0.6193459283,0.4478741609,2605.342034,0.3828570219,,,,Island,Home team + power conference opponent
2025,First Responder Bowl,Florida International Panthers,Conference USA,0,7,562.61,117500,53953,244657,Highly Local,70731.344,25.75732,-80.373928,EST,UTSA Roadrunners,American Conference,0,6,662.09,148700,24351,159591,Highly Local,65704.136,31.77015,-106.504098,CST,Gerald J. Ford Stadium,Dallas,TX,2,32000,32.843612,-96.783365,CST,1101.556453,572.3154289,12/26/2025,Friday,0.8333333333,ESPN,,,2233333,21870,,6.5,13,0,0,0,0,0,0,0,748752,836.9359411,572.3154289,529.2410244,0,0,3,2,0,26,5.874338575,0.6763460152,1,19859.84757,20462.8933,20462.8933,21870,0.6394654156,0.6834375,-1407.1067,-0.0643395839,,,,Medium,
2025,Game Above Sports Bowl,Central Michigan Chippewas,Mid-American Conference,0,7,481.16,126300,14399,158653,Mostly In-State,56827.564,43.591203,-84.77525,EST,Northwestern Wildcats,Big Ten Conference,0,6,677.97,128600,23203,185531,National,62044.888,42.050356,-87.679858,CST,Ford Field,Detroit,MI,1,65000,42.340115,-83.046341,EST,122.9382053,238.011032,12/26/2025,Friday,0.5416666667,ESPN,,,2370000,25909,,6.5,13,0,0,0,0,1,0,0,636686,180.4746186,122.9382053,115.0728267,0,1,2,1,0,26,5.803925982,0.09395814145,1,26334.34091,26206.73864,26206.73864,25909,0.4031805945,0.3986,297.73864,0.01149170713,,,,Large,
2025,Rate Bowl,New Mexico Lobos,Mountain West Conference,0,9,378.8,87500,22700,106312,Regional,41572.72,35.083868,-106.620155,MST,Minnesota Golden Gophers,Big Ten Conference,0,7,711.04,335500,9350,294902,Mostly In-State,132294.616,44.972851,-93.235464,CST,Chase Field,Phoenix,AZ,3,49033,33.445564,-112.067413,MST,330.9668914,1279.46419,12/26/2025,Friday,0.6875,ESPN,,,2916667,23775,,8,16,0,0,0,0,1,0,0,856264,805.2155409,330.9668914,948.497299,0,1,3,2,0,26,5.932608193,0.6482048654,1,23042.26739,23262.08717,23262.08717,23775,0.4744169676,0.4848775315,-512.91283,-0.02157362061,,,,Large,
2025,Arizona Bowl,Miami (OH) Redhawks,Mid-American Conference,0,7,592.1,142200,18618,174340,Regional,64054.44,39.507757,-84.732954,EST,Fresno State Bulldogs,Mountain West Conference,0,8,586.84,198300,23986,110359,Highly Local,75557.836,36.811154,-119.744569,PST,Arizona Stadium,Tucson,AZ,1,50782,32.232672,-110.950815,MST,1545.07387,591.8057502,12/27/2025,Saturday,0.6875,CW,,,754333,32732,,7.5,15,0,0,0,0,0,0,0,667803,1068.43981,591.8057502,953.2681199,1,0,3,1,0,26,5.824649016,0.8817275684,1,35584.12287,34728.48601,34728.48601,32732,0.6838739319,0.6445590957,1996.48601,0.06099492882,,,,Large,
2025,Fenway Bowl,UConn Huskies,Independent,0,9,568.12,142300,27364,171835,Regional,65573.548,41.809098,-72.249948,EST,Army Black Knights,American Conference,0,6,23.66,282000,4508,49781,Very National (Top 10%),90489.164,41.388988,-73.956772,EST,Fenway Park,Boston,MA,1,37755,42.346268,-71.095764,EST,69.86784462,161.382328,12/27/2025,Saturday,0.59375,ESPN,,,1843333,20313,,7.5,15,0,0,0,0,0,0,0,677788,115.6250863,69.86784462,91.5144834,1,0,3,2,1,26,5.831094516,0.03642606766,1,22243.84185,21664.5893,21664.5893,20313,0.5738204026,0.5380214541,1351.5893,0.06653814306,,,,Medium,"Northeast school + service academy, extremely regional"
2025,Gator Bowl,Missouri Tigers,Southeastern Conference,25,8,804.77,399800,31013,196047,Regional,146069.208,38.94531,-92.328843,CST,Virginia Cavaliers,Atlantic Coast Conference,20,10,666.74,197400,25924,178265,National,82497.996,38.035665,-78.503428,EST,EverBank Stadium,Jacksonville,FL,1,67814,30.323471,-81.636528,EST,849.9431892,562.0800045,12/27/2025,Saturday,0.8125,ABC,,,4600000,53758,,9,18,22.5,20,25,0,0,0,1,1028449,706.0115968,562.0800045,287.8631848,1,2,1,1,0,3.5,6.012183183,0.5601948455,0,43403.05758,46509.54031,48835.01733,53758,0.7201317917,0.7927271655,-4922.982675,-0.09157674531,,,,Large,Missouri and UVA are mid tier traveling brands
2025,Military Bowl,Pittsburgh Panthers,Atlantic Coast Conference,0,8,681.21,310000,34525,184319,Regional,118609.384,40.444388,-79.953254,EST,East Carolina Pirates,American Conference,0,8,611.55,193000,26785,147064,Mostly In-State,78208.02,35.607186,-77.368291,EST,Navy-Marine Corps Memorial Stadium,Annapolis,MD,1,34000,38.980507,-76.481692,EST,210.4090185,238.1249412,12/27/2025,Saturday,0.4583333333,ESPN,,,1768667,25935,,8,16,0,0,0,0,0,0,0,895693,224.2669798,210.4090185,27.71592273,1,1,2,2,0,26,5.952159665,0.1328090825,1,26342.82923,26220.48046,26220.48046,25935,0.7711906018,0.7627941176,285.48046,0.01100753653,,,,Medium,
2025,New Mexico Bowl,North Texas Mean Green,American Conference,23,11,569.15,120800,47507,242572,Highly Local,70226.26,33.211178,-97.148422,CST,San Diego State Aztecs,Mountain West Conference,0,9,594.27,135000,39241,270577,Mostly In-State,75643.608,32.77525,-117.071228,PST,University Stadium,Albuquerque,NM,1,39224,35.083868,-106.620155,MST,556.6363871,619.7083987,12/27/2025,Saturday,0.7395833333,ESPN,,,1368333,25268,,10,20,11.5,0,23,0,0,0,0,855697,588.1723929,556.6363871,63.07201159,1,0,3,2,0,14.5,5.932320517,0.4556523217,0.4888888889,24523.00775,24746.50543,24746.50543,25268,0.6309021372,0.6441974301,-521.49457,-0.02063853768,,,,Medium,
